Date_Time,Scalar,BX,BY,BZ,Plasma Temperature(K),Proton Density(N/cm^3),Plasma Speed(km/s),Alpha/Proton Ratio,Flow Pressure,DST index
2023/1/1 0:00:00,5.6,-1.9,4.6,-0.7,111138,2.4,603,0.038,1.68,-23
2023/1/1 1:00:00,5,-3.9,-0.6,0.6,157287,2.6,582,0.046,1.74,-21
2023/1/1 2:00:00,5.2,-3.9,-1.2,1.5,143309,2.6,581,0.044,1.72,-23
2023/1/1 3:00:00,5,-3.4,1.5,0.4,138155,2.4,576,0.046,1.57,-26
2023/1/1 4:00:00,4.9,-2.4,2.7,0.7,130313,2.5,585,0.044,1.68,-26
2023/1/1 5:00:00,4.8,-3.5,0.8,1.7,125800,2.5,569,0.043,1.58,-23
2023/1/1 6:00:00,4.8,-4.6,-0.1,0.2,126272,2.3,548,0.042,1.35,-19
2023/1/1 7:00:00,4.8,-4.5,0.6,1,131445,2.2,543,0.045,1.28,-17
2023/1/1 8:00:00,4.8,-3.2,1.9,0.8,120878,2.4,553,0.042,1.43,-16
2023/1/1 9:00:00,4.9,-2.4,2.2,-1.8,101674,2.4,559,0.038,1.44,-15
2023/1/1 10:00:00,5,-3.2,2.7,0.9,83809,2.3,546,0.031,1.29,-19
2023/1/1 11:00:00,4.8,-3.8,-0.6,2.6,99753,2.4,541,0.048,1.4,-19
2023/1/1 12:00:00,4.7,-3.4,1.8,-0.1,120895,2.4,535,0.05,1.38,-17
2023/1/1 13:00:00,4.7,-2.6,2.8,-0.6,114336,2.7,537,0.047,1.54,-16
2023/1/1 14:00:00,4.7,-1.3,4.1,-0.9,103012,2.6,539,0.04,1.46,-20
2023/1/1 15:00:00,4.7,-2.6,3,-0.4,105619,2.6,522,0.042,1.38,-18
2023/1/1 16:00:00,4.5,-3.3,2.4,-0.4,124735,2.7,515,0.047,1.42,-19
2023/1/1 17:00:00,3.9,-1.1,2.1,-1.8,147645,2.9,525,0.048,1.59,-16
2023/1/1 18:00:00,4.2,0.1,1.8,-2.7,126711,3,523,0.043,1.61,-19
2023/1/1 19:00:00,4.8,0,2.7,-3.5,112862,2.9,523,0.042,1.55,-22
2023/1/1 20:00:00,3.5,-1.1,0.9,-0.9,162523,3.5,513,0.045,1.82,-24
2023/1/1 21:00:00,4.5,-4,1.1,1.2,149738,2.9,487,0.053,1.39,-19
2023/1/1 22:00:00,4.4,-3.6,-0.5,-1.3,137384,3,487,0.053,1.44,-12
2023/1/1 23:00:00,4.6,-1.8,0.6,-2.5,125401,3,499,0.044,1.47,-17
2023/1/2 0:00:00,4.6,-0.6,2.5,-2.2,122840,3.1,505,0.04,1.53,-17
2023/1/2 1:00:00,4.7,-1.1,3.1,-1.3,106846,3,503,0.038,1.46,-20
2023/1/2 2:00:00,4.6,-2,3.4,0.9,99071,3,500,0.042,1.46,-20
2023/1/2 3:00:00,4.6,-3.2,1.6,2.2,85018,2.8,486,0.04,1.28,-18
2023/1/2 4:00:00,4.8,-0.8,4,-0.6,85618,3,507,0.043,1.51,-15
2023/1/2 5:00:00,4.5,-3.4,1.1,2,86212,2.9,479,0.046,1.32,-19
2023/1/2 6:00:00,4.2,-3,2.1,1.2,73818,2.7,477,0.04,1.19,-18
2023/1/2 7:00:00,4.2,-3.4,1.8,1.5,63770,2.6,475,0.036,1.12,-13
2023/1/2 8:00:00,3.9,-3.3,1.3,1.3,68417,2.6,473,0.039,1.12,-9
2023/1/2 9:00:00,2.7,1.4,0.2,-1.3,94122,3.1,487,0.049,1.47,-6
2023/1/2 10:00:00,2.5,1.5,-0.5,-1.2,87577,3,478,0.045,1.35,-8
2023/1/2 11:00:00,3,-1.6,1.7,-0.7,85190,3,455,0.051,1.25,-12
2023/1/2 12:00:00,3.4,-0.3,-1.7,-2.7,72614,3.4,459,0.043,1.4,-10
2023/1/2 13:00:00,3.5,-0.1,0.8,-2.6,76904,3.8,456,0.042,1.54,-10
2023/1/2 14:00:00,3.9,1,3.4,0.9,56066,3.1,455,0.04,1.24,-15
2023/1/2 15:00:00,2.8,0.5,1.6,0.3,69746,3.3,443,0.045,1.28,-13
2023/1/2 16:00:00,2.5,-1.4,0.8,0,75615,4,423,0.061,1.49,-15
2023/1/2 17:00:00,3.4,-2,2.5,-0.2,62380,4.1,416,0.066,1.5,-15
2023/1/2 18:00:00,3.6,-1.4,2.5,-0.1,59769,4.4,416,0.069,1.62,-11
2023/1/2 19:00:00,3.5,-1.3,0.6,-1.5,65882,4.7,419,0.064,1.73,-8
2023/1/2 20:00:00,3.5,0.3,-0.1,-1.9,73645,4.4,418,0.065,1.62,-9
2023/1/2 21:00:00,3.7,1.3,0.9,-3.1,71164,4.5,418,0.064,1.65,-10
2023/1/2 22:00:00,3.9,0.7,-0.5,-3,72474,4.4,415,0.064,1.59,-8
2023/1/2 23:00:00,3.7,-0.3,2.4,-1.7,73063,4.4,414,0.056,1.54,-9
2023/1/3 0:00:00,3.2,-0.7,1.9,0.6,80324,4.6,414,0.053,1.6,-8
2023/1/3 1:00:00,3.4,-1.7,1.8,0.8,74410,4.2,409,0.046,1.39,-10
2023/1/3 2:00:00,3.9,-0.3,2.2,3,60560,4.2,415,0.04,1.4,-13
2023/1/3 3:00:00,3.8,-2,1.4,1.8,60649,3.9,402,0.041,1.23,-12
2023/1/3 4:00:00,3.3,0.3,0.6,-1.2,73376,3.8,415,0.04,1.27,-6
2023/1/3 5:00:00,3.3,0.7,2.6,0.1,71081,3.6,414,0.042,1.2,-5
2023/1/3 6:00:00,2.7,0,1.2,-1.1,80067,3.9,409,0.038,1.26,-5
2023/1/3 7:00:00,2.4,0.6,-0.1,-1.7,78052,3.8,409,0.043,1.24,-4
2023/1/3 8:00:00,2.7,2.1,-0.4,-0.5,70693,3.7,411,0.052,1.26,-4
2023/1/3 9:00:00,3,-0.3,2.3,1.2,65080,3.7,390,0.059,1.16,-5
2023/1/3 10:00:00,3,-0.6,2.7,0.2,69157,4,387,0.061,1.24,-2
